District,Education,Sex,Count
Bhandara,Illiterate,Female,41728
Bhandara,Literate,Female,109263
Bhandara,Literate but below matric/secondary,Female,68625
Bhandara,Matric/secondary but below graduate,Female,28804
Bhandara,Technical diploma or certificate not equal to degree,Female,340
Bhandara,Graduate and above other than technical degree,Female,4699
Bhandara,Technical degree or diploma equal to degree or post-graduate degree,Female,2123
Gondiya,Illiterate,Male,24140
Gondiya,Literate,Male,258032
Gondiya,Literate but below matric/secondary,Male,133652
Gondiya,Matric/secondary but below graduate,Male,76090
Gondiya,Technical diploma or certificate not equal to degree,Male,1729
Gondiya,Graduate and above other than technical degree,Male,16929
Gondiya,Technical degree or diploma equal to degree or post-graduate degree,Male,5712
Gondiya,Illiterate,Female,41147
Gondiya,Literate,Female,111672
Gondiya,Literate but below matric/secondary,Female,66401
Gondiya,Matric/secondary but below graduate,Female,25738
Gondiya,Technical diploma or certificate not equal to degree,Female,237
Gondiya,Graduate and above other than technical degree,Female,3676
Gondiya,Technical degree or diploma equal to degree or post-graduate degree,Female,1543
Gadchiroli,Illiterate,Male,55874
Gadchiroli,Literate,Male,184035
Gadchiroli,Literate but below matric/secondary,Male,97429
Gadchiroli,Matric/secondary but below graduate,Male,48855
Gadchiroli,Technical diploma or certificate not equal to degree,Male,798
Gadchiroli,Graduate and above other than technical degree,Male,11633
Gadchiroli,Technical degree or diploma equal to degree or post-graduate degree,Male,3943
Gadchiroli,Illiterate,Female,71303
Gadchiroli,Literate,Female,81591
Gadchiroli,Literate but below matric/secondary,Female,44365
Gadchiroli,Matric/secondary but below graduate,Female,15956
Gadchiroli,Technical diploma or certificate not equal to degree,Female,143
Gadchiroli,Graduate and above other than technical degree,Female,2311
Gadchiroli,Technical degree or diploma equal to degree or post-graduate degree,Female,1030
Chandrapur,Illiterate,Male,82091
Chandrapur,Literate,Male,454641
Chandrapur,Literate but below matric/secondary,Male,241047
Chandrapur,Matric/secondary but below graduate,Male,144601
Chandrapur,Technical diploma or certificate not equal to degree,Male,5796
Chandrapur,Graduate and above other than technical degree,Male,39524
Chandrapur,Technical degree or diploma equal to degree or post-graduate degree,Male,11094
Chandrapur,Illiterate,Female,102427
Chandrapur,Literate,Female,164896
Chandrapur,Literate but below matric/secondary,Female,106570
Chandrapur,Matric/secondary but below graduate,Female,39041
Chandrapur,Technical diploma or certificate not equal to degree,Female,430
Chandrapur,Graduate and above other than technical degree,Female,7791
Chandrapur,Technical degree or diploma equal to degree or post-graduate degree,Female,3291
Yavatmal,Illiterate,Male,94497
Yavatmal,Literate,Male,649894
Yavatmal,Literate but below matric/secondary,Male,350246
Yavatmal,Matric/secondary but below graduate,Male,166269
Yavatmal,Technical diploma or certificate not equal to degree,Male,4128
Yavatmal,Graduate and above other than technical degree,Male,37527
Yavatmal,Technical degree or diploma equal to degree or post-graduate degree,Male,12831
Yavatmal,Illiterate,Female,159142
Yavatmal,Literate,Female,292715
Yavatmal,Literate but below matric/secondary,Female,180781
Yavatmal,Matric/secondary but below graduate,Female,45438
Yavatmal,Technical diploma or certificate not equal to degree,Female,498
Yavatmal,Graduate and above other than technical degree,Female,7246
Yavatmal,Technical degree or diploma equal to degree or post-graduate degree,Female,3634
Nanded,Illiterate,Male,163011
Nanded,Literate,Male,687610
Nanded,Literate but below matric/secondary,Male,352187
Nanded,Matric/secondary but below graduate,Male,196593
Nanded,Technical diploma or certificate not equal to degree,Male,5098
Nanded,Graduate and above other than technical degree,Male,57135
Nanded,Technical degree or diploma equal to degree or post-graduate degree,Male,20004
Nanded,Illiterate,Female,222151
Nanded,Literate,Female,244979
Nanded,Literate but below matric/secondary,Female,163484
Nanded,Matric/secondary but below graduate,Female,40743
Nanded,Technical diploma or certificate not equal to degree,Female,590
Nanded,Graduate and above other than technical degree,Female,7818
Nanded,Technical degree or diploma equal to degree or post-graduate degree,Female,5240
Hingoli,Illiterate,Male,48875
Hingoli,Literate,Male,258838
Hingoli,Literate but below matric/secondary,Male,142976
Hingoli,Matric/secondary but below graduate,Male,59851
Hingoli,Technical diploma or certificate not equal to degree,Male,1005
Hingoli,Graduate and above other than technical degree,Male,13600
Hingoli,Technical degree or diploma equal to degree or post-graduate degree,Male,4683
Hingoli,Illiterate,Female,83839
Hingoli,Literate,Female,121944
Hingoli,Literate but below matric/secondary,Female,77670
Hingoli,Matric/secondary but below graduate,Female,14161
Hingoli,Technical diploma or certificate not equal to degree,Female,113
Hingoli,Graduate and above other than technical degree,Female,1367
Hingoli,Technical degree or diploma equal to degree or post-graduate degree,Female,1032
Parbhani,Illiterate,Male,100095
Parbhani,Literate,Male,373483
Parbhani,Literate but below matric/secondary,Male,214747
Parbhani,Matric/secondary but below graduate,Male,98514
Parbhani,Technical diploma or certificate not equal to degree,Male,2045
Parbhani,Graduate and above other than technical degree,Male,28306
Parbhani,Technical degree or diploma equal to degree or post-graduate degree,Male,9299
Parbhani,Illiterate,Female,142738
Parbhani,Literate,Female,140501
Parbhani,Literate but below matric/secondary,Female,102304
Parbhani,Matric/secondary but below graduate,Female,20479
Parbhani,Technical diploma or certificate not equal to degree,Female,252
Parbhani,Graduate and above other than technical degree,Female,3758
Parbhani,Technical degree or diploma equal to degree or post-graduate degree,Female,2451
Jalna,Illiterate,Male,110520
Jalna,Literate,Male,397526
Jalna,Literate but below matric/secondary,Male,226202
Jalna,Matric/secondary but below graduate,Male,104603
Jalna,Technical diploma or certificate not equal to degree,Male,1913
Jalna,Graduate and above other than technical degree,Male,27631
Jalna,Technical degree or diploma equal to degree or post-graduate degree,Male,6628
Jalna,Illiterate,Female,171602
Jalna,Literate,Female,164327
Jalna,Literate but below matric/secondary,Female,113201
Jalna,Matric/secondary but below graduate,Female,25632
Jalna,Technical diploma or certificate not equal to degree,Female,274
Jalna,Graduate and above other than technical degree,Female,3837
Jalna,Technical degree or diploma equal to degree or post-graduate degree,Female,1824
Aurangabad,Illiterate,Male,143562
Aurangabad,Literate,Male,814056
Aurangabad,Literate but below matric/secondary,Male,362727
Aurangabad,Matric/secondary but below graduate,Male,293052
Aurangabad,Technical diploma or certificate not equal to degree,Male,13588
Aurangabad,Graduate and above other than technical degree,Male,97539
Aurangabad,Technical degree or diploma equal to degree or post-graduate degree,Male,25457
Aurangabad,Illiterate,Female,217591
Aurangabad,Literate,Female,270408
Aurangabad,Literate but below matric/secondary,Female,164965
Aurangabad,Matric/secondary but below graduate,Female,64627
Aurangabad,Technical diploma or certificate not equal to degree,Female,1369
Aurangabad,Graduate and above other than technical degree,Female,18399
Aurangabad,Technical degree or diploma equal to degree or post-graduate degree,Female,9320
Nashik,Illiterate,Male,231599
Nashik,Literate,Male,1409576
Nashik,Literate but below matric/secondary,Male,650008
Nashik,Matric/secondary but below graduate,Male,432177
Nashik,Technical diploma or certificate not equal to degree,Male,31527
Nashik,Graduate and above other than technical degree,Male,137982
Nashik,Technical degree or diploma equal to degree or post-graduate degree,Male,39186
Nashik,Illiterate,Female,314883
Nashik,Literate,Female,568044
Nashik,Literate but below matric/secondary,Female,323363
Nashik,Matric/secondary but below graduate,Female,114032
Nashik,Technical diploma or certificate not equal to degree,Female,2934
Nashik,Graduate and above other than technical degree,Female,30252
Nashik,Technical degree or diploma equal to degree or post-graduate degree,Female,13313
Thane,Illiterate,Male,368393
Thane,Literate,Male,2691346
Thane,Literate but below matric/secondary,Male,992649
Thane,Matric/secondary but below graduate,Male,971043
Thane,Technical diploma or certificate not equal to degree,Male,52833
Thane,Graduate and above other than technical degree,Male,394778
Thane,Technical degree or diploma equal to degree or post-graduate degree,Male,100111
Thane,Illiterate,Female,249420
Thane,Literate,Female,621230
Thane,Literate but below matric/secondary,Female,213602
Thane,Matric/secondary but below graduate,Female,148742
Thane,Technical diploma or certificate not equal to degree,Female,8697
Thane,Graduate and above other than technical degree,Female,156440
Thane,Technical degree or diploma equal to degree or post-graduate degree,Female,44069
Mumbai Suburban,Illiterate,Male,212369
Mumbai Suburban,Literate,Male,2598435
Mumbai Suburban,Literate but below matric/secondary,Male,931195
Mumbai Suburban,Matric/secondary but below graduate,Male,964892
Mumbai Suburban,Technical diploma or certificate not equal to degree,Male,43667
Mumbai Suburban,Graduate and above other than technical degree,Male,472840
Mumbai Suburban,Technical degree or diploma equal to degree or post-graduate degree,Male,106254
Mumbai Suburban,Illiterate,Female,93550
Mumbai Suburban,Literate,Female,611390
Mumbai Suburban,Literate but below matric/secondary,Female,171260
Mumbai Suburban,Matric/secondary but below graduate,Female,149943
Mumbai Suburban,Technical diploma or certificate not equal to degree,Female,9061
Mumbai Suburban,Graduate and above other than technical degree,Female,214542
Mumbai Suburban,Technical degree or diploma equal to degree or post-graduate degree,Female,45600
Mumbai,Illiterate,Male,90914
Mumbai,Literate,Male,883254
Mumbai,Literate but below matric/secondary,Male,337240
Mumbai,Matric/secondary but below graduate,Male,322189
Mumbai,Technical diploma or certificate not equal to degree,Male,10850
Mumbai,Graduate and above other than technical degree,Male,151293
Mumbai,Technical degree or diploma equal to degree or post-graduate degree,Male,26433
Mumbai,Illiterate,Female,31460
Mumbai,Literate,Female,202549
Mumbai,Literate but below matric/secondary,Female,57265
Mumbai,Matric/secondary but below graduate,Female,53383
Mumbai,Technical diploma or certificate not equal to degree,Female,3163
Mumbai,Graduate and above other than technical degree,Female,68617
Mumbai,Technical degree or diploma equal to degree or post-graduate degree,Female,12282
Raigarh,Illiterate,Male,72072
Raigarh,Literate,Male,570548
Raigarh,Literate but below matric/secondary,Male,259011
Raigarh,Matric/secondary but below graduate,Male,177991
Raigarh,Technical diploma or certificate not equal to degree,Male,12002
Raigarh,Graduate and above other than technical degree,Male,66493
Raigarh,Technical degree or diploma equal to degree or post-graduate degree,Male,22265
Raigarh,Illiterate,Female,68689
Raigarh,Literate,Female,148865
Raigarh,Literate but below matric/secondary,Female,78893
Raigarh,Matric/secondary but below graduate,Female,26799
Raigarh,Technical diploma or certificate not equal to degree,Female,1590
Raigarh,Graduate and above other than technical degree,Female,20869
Raigarh,Technical degree or diploma equal to degree or post-graduate degree,Female,8467
Pune,Illiterate,Male,260192
Pune,Literate,Male,2400883
Pune,Literate but below matric/secondary,Male,843967
Pune,Matric/secondary but below graduate,Male,811973
Pune,Technical diploma or certificate not equal to degree,Male,81924
Pune,Graduate and above other than technical degree,Male,347116
Pune,Technical degree or diploma equal to degree or post-graduate degree,Male,163176
Pune,Illiterate,Female,295338
Pune,Literate,Female,796911
Pune,Literate but below matric/secondary,Female,357514
Pune,Matric/secondary but below graduate,Female,164752
Pune,Technical diploma or certificate not equal to degree,Female,9930
Pune,Graduate and above other than technical degree,Female,131442
Pune,Technical degree or diploma equal to degree or post-graduate degree,Female,59656
Ahmadnagar,Illiterate,Male,185341
Ahmadnagar,Literate,Male,1041092
Ahmadnagar,Literate but below matric/secondary,Male,496193
Ahmadnagar,Matric/secondary but below graduate,Male,333821
Ahmadnagar,Technical diploma or certificate not equal to degree,Male,16368
Ahmadnagar,Graduate and above other than technical degree,Male,99956
Ahmadnagar,Technical degree or diploma equal to degree or post-graduate degree,Male,28201
Ahmadnagar,Illiterate,Female,310205
Ahmadnagar,Literate,Female,502121
Ahmadnagar,Literate but below matric/secondary,Female,319283
Ahmadnagar,Matric/secondary but below graduate,Female,109032
Ahmadnagar,Technical diploma or certificate not equal to degree,Female,2363
Ahmadnagar,Graduate and above other than technical degree,Female,19476
