District,Education,Total,Male,Female
Parbhani,Graduate and above other than technical degree,32064,28306,3758
Parbhani,Technical degree or diploma equal to degree or post-graduate degree,11750,9299,2451
Jalna,Illiterate,282122,110520,171602
Jalna,Literate,561853,397526,164327
Jalna,Literate but below matric/secondary,339403,226202,113201
Jalna,Matric/secondary but below graduate,130235,104603,25632
Jalna,Technical diploma or certificate not equal to degree,2187,1913,274
Jalna,Graduate and above other than technical degree,31468,27631,3837
Jalna,Technical degree or diploma equal to degree or post-graduate degree,8452,6628,1824
Aurangabad,Illiterate,361153,143562,217591
Aurangabad,Literate,1084464,814056,270408
Aurangabad,Literate but below matric/secondary,527692,362727,164965
Aurangabad,Matric/secondary but below graduate,357679,293052,64627
Aurangabad,Technical diploma or certificate not equal to degree,14957,13588,1369
Aurangabad,Graduate and above other than technical degree,115938,97539,18399
Aurangabad,Technical degree or diploma equal to degree or post-graduate degree,34777,25457,9320
Nashik,Illiterate,546482,231599,314883
Nashik,Literate,1977620,1409576,568044
Nashik,Literate but below matric/secondary,973371,650008,323363
Nashik,Matric/secondary but below graduate,546209,432177,114032
Nashik,Technical diploma or certificate not equal to degree,34461,31527,2934
Nashik,Graduate and above other than technical degree,168234,137982,30252
Nashik,Technical degree or diploma equal to degree or post-graduate degree,52499,39186,13313
Thane,Illiterate,617813,368393,249420
Thane,Literate,3312576,2691346,621230
Thane,Literate but below matric/secondary,1206251,992649,213602
Thane,Matric/secondary but below graduate,1119785,971043,148742
Thane,Technical diploma or certificate not equal to degree,61530,52833,8697
Thane,Graduate and above other than technical degree,551218,394778,156440
Thane,Technical degree or diploma equal to degree or post-graduate degree,144180,100111,44069
Mumbai Suburban,Illiterate,305919,212369,93550
Mumbai Suburban,Literate,3209825,2598435,611390
Mumbai Suburban,Literate but below matric/secondary,1102455,931195,171260
Mumbai Suburban,Matric/secondary but below graduate,1114835,964892,149943
Mumbai Suburban,Technical diploma or certificate not equal to degree,52728,43667,9061
Mumbai Suburban,Graduate and above other than technical degree,687382,472840,214542
Mumbai Suburban,Technical degree or diploma equal to degree or post-graduate degree,151854,106254,45600
Mumbai,Illiterate,122374,90914,31460
Mumbai,Literate,1085803,883254,202549
Mumbai,Literate but below matric/secondary,394505,337240,57265
Mumbai,Matric/secondary but below graduate,375572,322189,53383
Mumbai,Technical diploma or certificate not equal to degree,14013,10850,3163
Mumbai,Graduate and above other than technical degree,219910,151293,68617
Mumbai,Technical degree or diploma equal to degree or post-graduate degree,38715,26433,12282
Raigarh,Illiterate,140761,72072,68689
Raigarh,Literate,719413,570548,148865
Raigarh,Literate but below matric/secondary,337904,259011,78893
Raigarh,Matric/secondary but below graduate,204790,177991,26799
Raigarh,Technical diploma or certificate not equal to degree,13592,12002,1590
Raigarh,Graduate and above other than technical degree,87362,66493,20869
Raigarh,Technical degree or diploma equal to degree or post-graduate degree,30732,22265,8467
Pune,Illiterate,555530,260192,295338
Pune,Literate,3197794,2400883,796911
Pune,Literate but below matric/secondary,1201481,843967,357514
Pune,Matric/secondary but below graduate,976725,811973,164752
Pune,Technical diploma or certificate not equal to degree,91854,81924,9930
Pune,Graduate and above other than technical degree,478558,347116,131442
Pune,Technical degree or diploma equal to degree or post-graduate degree,222832,163176,59656
Ahmadnagar,Illiterate,495546,185341,310205
Ahmadnagar,Literate,1543213,1041092,502121
Ahmadnagar,Literate but below matric/secondary,815476,496193,319283
Ahmadnagar,Matric/secondary but below graduate,442853,333821,109032
