Qualification,Sex,Hours ,Age,Observation
Level 2,Female,Full-time: 31 to 48 hours worked,16-24,7430
Level 2,Female,Full-time: 31 to 48 hours worked,25-34,15329
Level 2,Female,Full-time: 31 to 48 hours worked,35-49,24763
Level 2,Female,Full-time: 31 to 48 hours worked,50-64,30060
Level 2,Female,Full-time: 31 to 48 hours worked,65>,2070
Level 2,Female,Full-time: 49 or more hours worked,16-24,444
Level 2,Female,Full-time: 49 or more hours worked,25-34,1351
Level 2,Female,Full-time: 49 or more hours worked,35-49,2329
Level 2,Female,Full-time: 49 or more hours worked,50-64,2722
Level 2,Female,Full-time: 49 or more hours worked,65>,232
Level 2,Male,Part-time: 15 hours or less worked,16-24,6176
Level 2,Male,Part-time: 15 hours or less worked,25-34,3252
Level 2,Male,Part-time: 15 hours or less worked,35-49,4326
Level 2,Male,Part-time: 15 hours or less worked,50-64,4214
Level 2,Male,Part-time: 15 hours or less worked,65>,1270
Level 2,Male,Part-time: 16 to 30 hours worked,16-24,5428
Level 2,Male,Part-time: 16 to 30 hours worked,25-34,5528
Level 2,Male,Part-time: 16 to 30 hours worked,35-49,8771
Level 2,Male,Part-time: 16 to 30 hours worked,50-64,6654
Level 2,Male,Part-time: 16 to 30 hours worked,65>,1280
Level 2,Male,Full-time: 31 to 48 hours worked,16-24,11004
Level 2,Male,Full-time: 31 to 48 hours worked,25-34,26607
Level 2,Male,Full-time: 31 to 48 hours worked,35-49,40587
Level 2,Male,Full-time: 31 to 48 hours worked,50-64,30728
Level 2,Male,Full-time: 31 to 48 hours worked,65>,2422
Level 2,Male,Full-time: 49 or more hours worked,16-24,1539
Level 2,Male,Full-time: 49 or more hours worked,25-34,5585
Level 2,Male,Full-time: 49 or more hours worked,35-49,9052
Level 2,Male,Full-time: 49 or more hours worked,50-64,6663
Level 2,Male,Full-time: 49 or more hours worked,65>,562
Level 3,Female,Part-time: 15 hours or less worked,16-24,17481
Level 3,Female,Part-time: 15 hours or less worked,25-34,7729
Level 3,Female,Part-time: 15 hours or less worked,35-49,11511
Level 3,Female,Part-time: 15 hours or less worked,50-64,8461
Level 3,Female,Part-time: 15 hours or less worked,65>,1845
Level 3,Female,Part-time: 16 to 30 hours worked,16-24,13097
Level 3,Female,Part-time: 16 to 30 hours worked,25-34,14258
Level 3,Female,Part-time: 16 to 30 hours worked,35-49,24774
Level 3,Female,Part-time: 16 to 30 hours worked,50-64,18019
Level 3,Female,Part-time: 16 to 30 hours worked,65>,2035
Level 3,Female,Full-time: 31 to 48 hours worked,16-24,22165
Level 3,Female,Full-time: 31 to 48 hours worked,25-34,41053
Level 3,Female,Full-time: 31 to 48 hours worked,35-49,42140
Level 3,Female,Full-time: 31 to 48 hours worked,50-64,34609
Level 3,Female,Full-time: 31 to 48 hours worked,65>,2236
Level 3,Female,Full-time: 49 or more hours worked,16-24,1460
Level 3,Female,Full-time: 49 or more hours worked,25-34,4328
Level 3,Female,Full-time: 49 or more hours worked,35-49,5083
Level 3,Female,Full-time: 49 or more hours worked,50-64,3913
Level 3,Female,Full-time: 49 or more hours worked,65>,371
Level 3,Male,Part-time: 15 hours or less worked,16-24,12228
Level 3,Male,Part-time: 15 hours or less worked,25-34,5795
Level 3,Male,Part-time: 15 hours or less worked,35-49,6083
Level 3,Male,Part-time: 15 hours or less worked,50-64,5832
Level 3,Male,Part-time: 15 hours or less worked,65>,2000
Level 3,Male,Part-time: 16 to 30 hours worked,16-24,11497
Level 3,Male,Part-time: 16 to 30 hours worked,25-34,8633
Level 3,Male,Part-time: 16 to 30 hours worked,35-49,9792
Level 3,Male,Part-time: 16 to 30 hours worked,50-64,8139
Level 3,Male,Part-time: 16 to 30 hours worked,65>,1995
Level 3,Male,Full-time: 31 to 48 hours worked,16-24,24422
Level 3,Male,Full-time: 31 to 48 hours worked,25-34,53732
Level 3,Male,Full-time: 31 to 48 hours worked,35-49,60059
Level 3,Male,Full-time: 31 to 48 hours worked,50-64,41503
Level 3,Male,Full-time: 31 to 48 hours worked,65>,3974
Level 3,Male,Full-time: 49 or more hours worked,16-24,3270
Level 3,Male,Full-time: 49 or more hours worked,25-34,11789
Level 3,Male,Full-time: 49 or more hours worked,35-49,16102
Level 3,Male,Full-time: 49 or more hours worked,50-64,10696
Level 3,Male,Full-time: 49 or more hours worked,65>,1015
Level 4,Female,Part-time: 15 hours or less worked,16-24,13708
Level 4,Female,Part-time: 15 hours or less worked,25-34,28969
Level 4,Female,Part-time: 15 hours or less worked,35-49,47046
Level 4,Female,Part-time: 15 hours or less worked,50-64,28506
Level 4,Female,Part-time: 15 hours or less worked,65>,9435
Level 4,Female,Part-time: 16 to 30 hours worked,16-24,15926
Level 4,Female,Part-time: 16 to 30 hours worked,25-34,52453
Level 4,Female,Part-time: 16 to 30 hours worked,35-49,96965
Level 4,Female,Part-time: 16 to 30 hours worked,50-64,49964
Level 4,Female,Part-time: 16 to 30 hours worked,65>,7809
Level 4,Female,Full-time: 31 to 48 hours worked,16-24,62156
Level 4,Female,Full-time: 31 to 48 hours worked,25-34,336477
Level 4,Female,Full-time: 31 to 48 hours worked,35-49,273179
Level 4,Female,Full-time: 31 to 48 hours worked,50-64,116384
Level 4,Female,Full-time: 31 to 48 hours worked,65>,8228
Level 4,Female,Full-time: 49 or more hours worked,16-24,7424
Level 4,Female,Full-time: 49 or more hours worked,25-34,61319
Level 4,Female,Full-time: 49 or more hours worked,35-49,57626
Level 4,Female,Full-time: 49 or more hours worked,50-64,25999
Level 4,Female,Full-time: 49 or more hours worked,65>,1799
Level 4,Male,Part-time: 15 hours or less worked,16-24,8952
Level 4,Male,Part-time: 15 hours or less worked,25-34,17847
Level 4,Male,Part-time: 15 hours or less worked,35-49,22471
Level 4,Male,Part-time: 15 hours or less worked,50-64,19482
Level 4,Male,Part-time: 15 hours or less worked,65>,10711
Level 4,Male,Part-time: 16 to 30 hours worked,16-24,10558
Level 4,Male,Part-time: 16 to 30 hours worked,25-34,27303
Level 4,Male,Part-time: 16 to 30 hours worked,35-49,37938
Level 4,Male,Part-time: 16 to 30 hours worked,50-64,27917
Level 4,Male,Part-time: 16 to 30 hours worked,65>,9584
Level 4,Male,Full-time: 31 to 48 hours worked,16-24,45707
Level 4,Male,Full-time: 31 to 48 hours worked,25-34,285545
Level 4,Male,Full-time: 31 to 48 hours worked,35-49,310913
Level 4,Male,Full-time: 31 to 48 hours worked,50-64,136009
Level 4,Male,Full-time: 31 to 48 hours worked,65>,15313
Level 4,Male,Full-time: 49 or more hours worked,16-24,9107
Level 4,Male,Full-time: 49 or more hours worked,25-34,85825
Level 4,Male,Full-time: 49 or more hours worked,35-49,109986
Level 4,Male,Full-time: 49 or more hours worked,50-64,49470
Level 4,Male,Full-time: 49 or more hours worked,65>,5218
Level 5,Female,Part-time: 15 hours or less worked,16-24,1309
Level 5,Female,Part-time: 15 hours or less worked,25-34,3394
Level 5,Female,Part-time: 15 hours or less worked,35-49,6048
Level 5,Female,Part-time: 15 hours or less worked,50-64,4387
Level 5,Female,Part-time: 15 hours or less worked,65>,1337
Level 5,Female,Part-time: 16 to 30 hours worked,16-24,2203
Level 5,Female,Part-time: 16 to 30 hours worked,25-34,5439
Level 5,Female,Part-time: 16 to 30 hours worked,35-49,9972
Level 5,Female,Part-time: 16 to 30 hours worked,50-64,7642
Level 5,Female,Part-time: 16 to 30 hours worked,65>,1257
Level 5,Female,Full-time: 31 to 48 hours worked,16-24,5014
Level 5,Female,Full-time: 31 to 48 hours worked,25-34,11038
Level 5,Female,Full-time: 31 to 48 hours worked,35-49,12686
Level 5,Female,Full-time: 31 to 48 hours worked,50-64,10538
Level 5,Female,Full-time: 31 to 48 hours worked,65>,1225
Level 5,Female,Full-time: 49 or more hours worked,16-24,412
Level 5,Female,Full-time: 49 or more hours worked,25-34,1425
Level 5,Female,Full-time: 49 or more hours worked,35-49,1652
Level 5,Female,Full-time: 49 or more hours worked,50-64,1192
Level 5,Female,Full-time: 49 or more hours worked,65>,199
Level 5,Male,Part-time: 15 hours or less worked,16-24,1218
Level 5,Male,Part-time: 15 hours or less worked,25-34,2492
Level 5,Male,Part-time: 15 hours or less worked,35-49,4233
Level 5,Male,Part-time: 15 hours or less worked,50-64,4494
Level 5,Male,Part-time: 15 hours or less worked,65>,1994
Level 5,Male,Part-time: 16 to 30 hours worked,16-24,1849
Level 5,Male,Part-time: 16 to 30 hours worked,25-34,4102
Level 5,Male,Part-time: 16 to 30 hours worked,35-49,8800
Level 5,Male,Part-time: 16 to 30 hours worked,50-64,6924
Level 5,Male,Part-time: 16 to 30 hours worked,65>,2031
Level 5,Male,Full-time: 31 to 48 hours worked,16-24,7121
Level 5,Male,Full-time: 31 to 48 hours worked,25-34,20349
Level 5,Male,Full-time: 31 to 48 hours worked,35-49,30482
Level 5,Male,Full-time: 31 to 48 hours worked,50-64,27419
Level 5,Male,Full-time: 31 to 48 hours worked,65>,4125
Level 5,Male,Full-time: 49 or more hours worked,16-24,1118
Level 5,Male,Full-time: 49 or more hours worked,25-34,5210
Level 5,Male,Full-time: 49 or more hours worked,35-49,7621
Level 5,Male,Full-time: 49 or more hours worked,50-64,6169
Level 5,Male,Full-time: 49 or more hours worked,65>,931
