Regions,Qualifications,Qualification,Sex,Hours ,Age,Observation
North East,0,No qualifications,Female,Part-time: 15 hours or less worked,Aged 15 years and under,0
North East,0,No qualifications,Female,Part-time: 15 hours or less worked,Aged 16 to 24 years,414
North East,0,No qualifications,Female,Part-time: 15 hours or less worked,Aged 25 to 34 years,753
North East,0,No qualifications,Female,Part-time: 15 hours or less worked,Aged 35 to 49 years,1688
North East,0,No qualifications,Female,Part-time: 15 hours or less worked,Aged 50 to 64 years,3947
North East,0,No qualifications,Female,Part-time: 15 hours or less worked,Aged 65 years and over,2057
North East,0,No qualifications,Female,Part-time: 16 to 30 hours worked,Aged 15 years and under,0
North East,0,No qualifications,Female,Part-time: 16 to 30 hours worked,Aged 16 to 24 years,469
North East,0,No qualifications,Female,Part-time: 16 to 30 hours worked,Aged 25 to 34 years,1864
North East,0,No qualifications,Female,Part-time: 16 to 30 hours worked,Aged 35 to 49 years,4498
North East,0,No qualifications,Female,Part-time: 16 to 30 hours worked,Aged 50 to 64 years,9253
North East,0,No qualifications,Female,Part-time: 16 to 30 hours worked,Aged 65 years and over,2014
North East,0,No qualifications,Female,Full-time: 31 to 48 hours worked,Aged 15 years and under,0
North East,0,No qualifications,Female,Full-time: 31 to 48 hours worked,Aged 16 to 24 years,600
North East,0,No qualifications,Female,Full-time: 31 to 48 hours worked,Aged 25 to 34 years,1175
North East,0,No qualifications,Female,Full-time: 31 to 48 hours worked,Aged 35 to 49 years,3072
North East,0,No qualifications,Female,Full-time: 31 to 48 hours worked,Aged 50 to 64 years,6510
North East,0,No qualifications,Female,Full-time: 31 to 48 hours worked,Aged 65 years and over,1109
North East,0,No qualifications,Female,Full-time: 49 or more hours worked,Aged 15 years and under,0
North East,0,No qualifications,Female,Full-time: 49 or more hours worked,Aged 16 to 24 years,37
North East,0,No qualifications,Female,Full-time: 49 or more hours worked,Aged 25 to 34 years,80
North East,0,No qualifications,Female,Full-time: 49 or more hours worked,Aged 35 to 49 years,260
North East,0,No qualifications,Female,Full-time: 49 or more hours worked,Aged 50 to 64 years,553
North East,0,No qualifications,Female,Full-time: 49 or more hours worked,Aged 65 years and over,156
North East,0,No qualifications,Male,Does not apply,Aged 15 years and under,0
North East,0,No qualifications,Male,Does not apply,Aged 16 to 24 years,15809
North East,0,No qualifications,Male,Does not apply,Aged 25 to 34 years,8931
North East,0,No qualifications,Male,Does not apply,Aged 35 to 49 years,14826
North East,0,No qualifications,Male,Does not apply,Aged 50 to 64 years,25965
North East,0,No qualifications,Male,Does not apply,Aged 65 years and over,71611
North East,0,No qualifications,Male,Part-time: 15 hours or less worked,Aged 15 years and under,0
North East,0,No qualifications,Male,Part-time: 15 hours or less worked,Aged 16 to 24 years,310
North East,0,No qualifications,Male,Part-time: 15 hours or less worked,Aged 25 to 34 years,522
North East,0,No qualifications,Male,Part-time: 15 hours or less worked,Aged 35 to 49 years,1041
North East,0,No qualifications,Male,Part-time: 15 hours or less worked,Aged 50 to 64 years,1631
North East,0,No qualifications,Male,Part-time: 15 hours or less worked,Aged 65 years and over,988
North East,0,No qualifications,Male,Part-time: 16 to 30 hours worked,Aged 15 years and under,0
North East,0,No qualifications,Male,Part-time: 16 to 30 hours worked,Aged 16 to 24 years,505
North East,0,No qualifications,Male,Part-time: 16 to 30 hours worked,Aged 25 to 34 years,1319
North East,0,No qualifications,Male,Part-time: 16 to 30 hours worked,Aged 35 to 49 years,3003
North East,0,No qualifications,Male,Part-time: 16 to 30 hours worked,Aged 50 to 64 years,4173
North East,0,No qualifications,Male,Part-time: 16 to 30 hours worked,Aged 65 years and over,1315
North East,0,No qualifications,Male,Full-time: 31 to 48 hours worked,Aged 15 years and under,0
North East,0,No qualifications,Male,Full-time: 31 to 48 hours worked,Aged 16 to 24 years,1478
North East,0,No qualifications,Male,Full-time: 31 to 48 hours worked,Aged 25 to 34 years,4101
North East,0,No qualifications,Male,Full-time: 31 to 48 hours worked,Aged 35 to 49 years,8634
North East,0,No qualifications,Male,Full-time: 31 to 48 hours worked,Aged 50 to 64 years,16082
North East,0,No qualifications,Male,Full-time: 31 to 48 hours worked,Aged 65 years and over,2386
North East,0,No qualifications,Male,Full-time: 49 or more hours worked,Aged 15 years and under,0
North East,0,No qualifications,Male,Full-time: 49 or more hours worked,Aged 16 to 24 years,198
North East,0,No qualifications,Male,Full-time: 49 or more hours worked,Aged 25 to 34 years,706
North East,0,No qualifications,Male,Full-time: 49 or more hours worked,Aged 35 to 49 years,1825
North East,0,No qualifications,Male,Full-time: 49 or more hours worked,Aged 50 to 64 years,3532
North East,0,No qualifications,Male,Full-time: 49 or more hours worked,Aged 65 years and over,814
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Does not apply,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Does not apply,Aged 16 to 24 years,7434
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Does not apply,Aged 25 to 34 years,6191
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Does not apply,Aged 35 to 49 years,8505
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Does not apply,Aged 50 to 64 years,17157
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Does not apply,Aged 65 years and over,27715
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 15 hours or less worked,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 15 hours or less worked,Aged 16 to 24 years,613
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 15 hours or less worked,Aged 25 to 34 years,872
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 15 hours or less worked,Aged 35 to 49 years,1729
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 15 hours or less worked,Aged 50 to 64 years,3741
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 15 hours or less worked,Aged 65 years and over,771
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 16 to 30 hours worked,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 16 to 30 hours worked,Aged 16 to 24 years,1001
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 16 to 30 hours worked,Aged 25 to 34 years,2347
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 16 to 30 hours worked,Aged 35 to 49 years,5302
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 16 to 30 hours worked,Aged 50 to 64 years,10111
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Part-time: 16 to 30 hours worked,Aged 65 years and over,834
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 31 to 48 hours worked,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 31 to 48 hours worked,Aged 16 to 24 years,1155
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 31 to 48 hours worked,Aged 25 to 34 years,1690
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 31 to 48 hours worked,Aged 35 to 49 years,5128
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 31 to 48 hours worked,Aged 50 to 64 years,9460
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 31 to 48 hours worked,Aged 65 years and over,495
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 49 or more hours worked,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 49 or more hours worked,Aged 16 to 24 years,43
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 49 or more hours worked,Aged 25 to 34 years,92
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 49 or more hours worked,Aged 35 to 49 years,349
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 49 or more hours worked,Aged 50 to 64 years,613
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Female,Full-time: 49 or more hours worked,Aged 65 years and over,62
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Does not apply,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Does not apply,Aged 16 to 24 years,9884
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Does not apply,Aged 25 to 34 years,4842
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Does not apply,Aged 35 to 49 years,6263
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Does not apply,Aged 50 to 64 years,9260
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Does not apply,Aged 65 years and over,11610
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 15 hours or less worked,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 15 hours or less worked,Aged 16 to 24 years,567
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 15 hours or less worked,Aged 25 to 34 years,513
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 15 hours or less worked,Aged 35 to 49 years,830
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 15 hours or less worked,Aged 50 to 64 years,1125
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 15 hours or less worked,Aged 65 years and over,289
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 16 to 30 hours worked,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 16 to 30 hours worked,Aged 16 to 24 years,957
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 16 to 30 hours worked,Aged 25 to 34 years,1350
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 16 to 30 hours worked,Aged 35 to 49 years,2104
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 16 to 30 hours worked,Aged 50 to 64 years,2709
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Part-time: 16 to 30 hours worked,Aged 65 years and over,429
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Full-time: 31 to 48 hours worked,Aged 15 years and under,0
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Full-time: 31 to 48 hours worked,Aged 16 to 24 years,2903
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Full-time: 31 to 48 hours worked,Aged 25 to 34 years,5606
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Full-time: 31 to 48 hours worked,Aged 35 to 49 years,11858
North East,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",Male,Full-time: 31 to 48 hours worked,Aged 50 to 64 years,15016
