Year,City,State,School,Fatalities,Presidency
2021,Wilmington,North Carolina,HS,0,Republican
2021,Winston-Salem,North Carolina,HS,1,Republican
2021,Towson,Maryland,C,0,Republican
2021,Newport News,Virginia,HS,0,Republican
2021,Wichita,Kansas,HS,0,Republican
2021,Fairfield,Alabama,HS,0,Republican
2021,Memphis,Tennessee,ES,0,Republican
2021,Newton,Mississippi,ES,0,Republican
2021,Houston,Texas,HS,0,Republican
2021,Arlington,Texas,HS,0,Republican
2021,Chicago,Illinois,HS,0,Republican
2021,Grambling,Louisiana,C,1,Republican
2021,Grambling,Louisiana,C,1,Republican
2021,Madison,Mississippi,HS,0,Republican
2021,Aurora,Colorado,HS,0,Republican
2021,Campbell,California,HS,0,Republican
2021,Phoenix,Arizona,HS,0,Republican
2021,Oxford Township,Michigan,HS,4,Republican
2021,Humbolt,Tennessee,HS,1,Democrat
2021,Wilmington,California,ES,1,Democrat
2021,Kansas City,Missouri,MS,0,Democrat
2022,Rockford,Illinois,HS,0,Democrat
2022,Murfreesboro,North Carolina,C,0,Democrat
2022,Albuquerque,New Mexico,HS,0,Democrat
2022,Sanford,Florida,HS,0,Democrat
2022,Pittsburgh,Pennsylvania,HS,1,Democrat
2022,Derwood,Maryland,HS,0,Democrat
2022,Beloit,Wisconsin,HS,1,Democrat
2022,Richfield,Minnesota,HS,1,Democrat
2022,Bridgewater,Virginia,C,2,Democrat
2022,Catonsville,Maryland,HS,0,Democrat
2022,Olathe,Kansas,HS,0,Democrat
2022,Des Moines,Iowa,HS,1,Democrat
2022,Greenville,South Carolina,MS,1,Democrat
2022,Erie,Pennsylvania,HS,0,Democrat
2022,Washington,District of Columbia,HS,0,Democrat
2022,Suwanee,Georgia,ES,0,Democrat
2022,Chicago,Illinois,ES,0,Democrat
2022,Uvalde,Texas,ES,22,Democrat
2022,New Orleans,Louisiana,C,1,Democrat
2022,Los Angeles,California,ES,0,Democrat
2022,Clarksville,Tennessee,HS,0,Democrat
2022,Groveport,Ohio,HS,0,Democrat
2022,Oakland,California,HS,0,Democrat
2022,Dover,Delaware,C,0,Democrat
2022,Richfield,Minnesota,HS,0,Democrat
2022,Philadelphia,Pennsylvania,HS,1,Democrat
2022,Oakland,California,HS,0,Democrat
2022,Tulsa,Oklahoma,HS,1,Democrat
2022,Newburgh,New York,HS,0,Democrat
2022,Tucson,Arizona,C,1,Democrat
2022,Toledo,Ohio,HS,0,Democrat
2022,Baltimore,Maryland,C,0,Democrat
2022,St. Louis,Missouri,HS,3,Democrat
2022,West Hartford,Connecticut,C,0,Democrat
2022,Seattle,Washington,HS,1,Democrat
2022,Orlando,Florida,HS,1,Democrat
2022,Charlottesville,Virginia,C,3,Democrat
2022,Clinton,Indiana,C,0,Democrat
2022,Albuquerque,New Mexico,C,1,Democrat
2022,Tallahassee,Florida,C,1,Democrat
2022,Fuquay-Varina,North Carolina,MS,0,Democrat
2023,Detroit,Michigan,ES,1,Democrat
2023,Rochester,New York,HS,0,Democrat
2023,Newport News,Virginia,ES,0,Democrat
2023,South Tabor,Oregon,HS,0,Democrat
2023,Stanford,Kentucky,ES,0,Democrat
2023,Des Moines,Iowa,HS,2,Democrat
2023,Middletown,Delaware,HS,0,Democrat
2023,East Lansing,Michigan,C,4,Democrat
2023,Stapleton,New York,ES,0,Democrat
2023,Homewood West,Pennsylvania,HS,0,Democrat
2023,Daytona Beach,Florida,C,0,Democrat
2023,Orangeburg,South Carolina,C,0,Democrat
2023,Waterville,Maine,C,0,Democrat
2023,Arlington,Texas,HS,1,Democrat
2023,Dallas,Texas,HS,0,Democrat
2023,City Park,Colorado,HS,1,Democrat
2023,Orangeburg,South Carolina,C,0,Democrat
2023,Nashville,Tennessee,ES,7,Democrat
2023,Winston-Salem,North Carolina,C,0,Democrat
